enterprise_id,invest_name,invest_id,invest_time,invest_level
afbc173ac5954741b1d2ea01504d6492,**投资,d7c436c0153e56586e275dd3766d91c3,1955/9/5,3
1d899b2e99e24919b38073093737fef9,欧擎*****集团）,b18dce0c537b19861aa691d07fccd374,2016/6/15,3
dcb0f062f3e24139ad5568b6c052e5a0,**互联,6dbe42ebf81f401b0a5d69931f202f78,2016/3/10,2
a40258bd67c9443ea93511960af6c93c,**互联,6dbe42ebf81f401b0a5d69931f202f78,2015/10/16,2
b849cfb1b98b435686817cbfec446e79,**创投,0c98d60d4e3d1e3c77ae9d3d7b18884e,2016/6/23,1
b849cfb1b98b435686817cbfec446e79,**富海,f1c3914bca831790d5221ff4a78f2ae7,2016/6/23,1
b849cfb1b98b435686817cbfec446e79,英***基金,59c9033a8d3a774c64c7504df6102b8f,2016/6/23,1
b849cfb1b98b435686817cbfec446e79,乾***投资,3badfd300d2d1f5fcd1e197ddf60363e,2016/6/23,3
ed275daefd9748428820192fc019830b,**中国,357f64dc1c910220db4bfa27289fb004,2006/7/12,3
98d54ad661674372b23601c7f36596ce,南京*****权投资,6db13e693108021b8997b6e021b57053,2016/6/15,3
98d54ad661674372b23601c7f36596ce,**资本,573b93790de4f88b2b2a8b3e5477e44b,2016/6/15,3
cee33ab5d20a4d0fa0fbe60d379d7abc,**创投,ed0f35e89f90707a071ca79551345fa8,2016/3/3,3
5aa4ca1eb0934ea586280aa790628a89,蓝象*****工场）,0130c6af6bd1deb3034fb6e8d375acd3,2016/5/25,3
f40e67808d5445fa93e4f3fea35dea6f,NE**颐投资,a0967769ede6b5d42218d875aad0132f,2014/1/13,3
94c06658aa8b4892aa38eb3f3f10c6ef,欢聚*****多玩）,878f525affc9aff94ffaab11b489881a,2014/1/2,3
94c06658aa8b4892aa38eb3f3f10c6ef,**基金,d843928cb6463d49c601ac939aa84f27,2014/1/2,1
94c06658aa8b4892aa38eb3f3f10c6ef,**创投,61fa446b11f1d0b6bb390ea6b1f02f1a,2014/9/12,2
94c06658aa8b4892aa38eb3f3f10c6ef,**基金,d843928cb6463d49c601ac939aa84f27,2014/9/12,1
7ac6a04ae7064aac8b1b39583a1e4ab4,**教育,2965cf029b6e29023d88ba383ea1a2b1,2015/11/30,4
7ac6a04ae7064aac8b1b39583a1e4ab4,**资本,bede86112a60c79da91c34685b9426c1,2015/11/30,3
7e164e25f14441c5ae746f4276ac8b4b,长***投资,9778de76a089457b4b43c3adadf1d192,2011/6/30,3
7e164e25f14441c5ae746f4276ac8b4b,**资本,3ed7b4bddf1ca0db15a8ed38426ffddb,2015/10/30,2
7e164e25f14441c5ae746f4276ac8b4b,传化*****限公司,5c118d6826bffe3b97e88ecc5a1c9090,2015/10/30,4
edbbe819b6c849f5b0c48b6602006dc7,**资本,b6544fa628b866cd9ce2a6f73b29c57c,2015/3/2,3
edbbe819b6c849f5b0c48b6602006dc7,**资本,2b07322a2a726e1c2f0391de84a99a9b,2015/11/16,3
edbbe819b6c849f5b0c48b6602006dc7,**资本,b6544fa628b866cd9ce2a6f73b29c57c,2016/3/25,3
